brand, product_name, price
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1050 Ti SC Gaming 4GB| GDDR5| 128 Bits - 04G-P4-6253-KR,R$ 1094.00
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1070 Ti Mini 8GB GDDR5 8000Mhz - ZT-P10710G-10P,R$ 2615.18
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1060 AMP! 6GB GDDR5 192Bits 8008MHz DP/HDMI/DVI - ZT-P10600B-10M,R$ 1764.59
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 Ti OC 4G - GV-N105TOC-4GD,R$ 1035.18
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GTX 750 Ti 2GB DDR5 128Bits - PPV750TI12802D5,R$ 752.82
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GT 730 Gaming| 1GB| GDDR5| 128 Bits| PCI-E 1.0 - PY730GT12801G5,R$ 258.71
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1060 6GT OCV1| 6GB| GDDR5| 192 bits| PCI-E 3.0,R$ 1646.94
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1050 TI Gaming 4GB GDDR5 - 04G-P4-6251-KR,R$ 1046.94
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GT S450 2GB| GDDR5| 128 Bits - PPV450GS12802G5,R$ 406.94
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GTX 550 Ti Dual Fan| 1GB| GDDR5| 128 bits| PCI-E 2.0 - PV55TX1GD5128DF,R$ 470.47
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1050 2GB| GDDR5| 128 Bits - ZT-P10500A-10L,R$ 777.67
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1070 Ti DUKE 8GB GDDR5 256Bits,R$ 2861.07
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1060 Windforce OC 6G - GV-N1060WF2OC-6GD,R$ 2028.12
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1060 6GB GDDR5 PCI-E 3.0 - 06G-P4-6161-KR,R$ 1717.53
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1060 3GB Windforce 2X GDDR5 - GV-N1060WF2OC-3GD,R$ 1529.29
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1080 8GB Boost Clock 1759 MHz - ZT-P10800H-10P,R$ 2941.06
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 Ti 4G - GV-N105TD5-4GD,R$ 1023.41
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1060 6GB SC ACX 2.0 DDR5 06G-P4-6163-KR,R$ 1858.71
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1050 AERO ITX 2GB OC,R$ 752.82
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1050 Ti 4G OC 4GB GDDR5 128Bits DVI|HDMI|DP - PCIE 3.0,R$ 1082.24
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1050 2GB 128Bits ACX GDDR5 - 02G-P4-6150-KR,R$ 830.47
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 2GB| GDDR5| 128 Bits - GV-N1050D5-2GD,R$ 882.24
XFX,Placa de Video VGA XFX AMD Radeon RX 580 OC+ GTS XXX Edition  8GB GDDR5 1386Mhz - RX-580P8DFD6,R$ 2583.41
